wl,n
0.810,1.7564E+00
0.815,1.7560E+00
0.820,1.7556E+00
0.825,1.7553E+00
0.830,1.7549E+00
0.835,1.7546E+00
0.840,1.7542E+00
0.845,1.7539E+00
0.850,1.7535E+00
0.855,1.7532E+00
0.860,1.7529E+00
0.865,1.7526E+00
0.870,1.7523E+00
0.875,1.7520E+00
0.880,1.7517E+00
0.885,1.7514E+00
0.890,1.7511E+00
0.895,1.7508E+00
0.900,1.7506E+00
0.905,1.7503E+00
0.910,1.7500E+00
0.915,1.7497E+00
0.920,1.7495E+00
0.925,1.7492E+00
0.930,1.7490E+00
0.935,1.7487E+00
0.940,1.7485E+00
0.945,1.7483E+00
0.950,1.7480E+00
0.955,1.7478E+00
0.960,1.7476E+00
0.965,1.7473E+00
0.970,1.7471E+00
0.975,1.7469E+00
0.980,1.7467E+00
0.985,1.7465E+00
0.990,1.7463E+00
0.995,1.7461E+00
1.000,1.7459E+00
1.005,1.7457E+00
1.010,1.7455E+00
1.015,1.7453E+00
1.020,1.7451E+00
1.025,1.7449E+00
1.030,1.7447E+00
1.035,1.7445E+00
1.040,1.7443E+00
1.045,1.7442E+00
1.050,1.7440E+00
1.055,1.7438E+00
1.060,1.7437E+00
1.065,1.7435E+00
1.070,1.7433E+00
1.075,1.7432E+00
1.080,1.7430E+00
1.085,1.7428E+00
1.090,1.7427E+00
1.095,1.7425E+00
1.100,1.7424E+00
1.105,1.7422E+00
1.110,1.7421E+00
1.115,1.7419E+00
1.120,1.7418E+00
1.125,1.7417E+00
1.130,1.7415E+00
1.135,1.7414E+00
1.140,1.7412E+00
1.145,1.7411E+00
1.150,1.7410E+00
1.155,1.7408E+00
1.160,1.7407E+00
1.165,1.7406E+00
1.170,1.7405E+00
1.175,1.7403E+00
1.180,1.7402E+00
1.185,1.7401E+00
1.190,1.7400E+00
1.195,1.7399E+00
1.200,1.7397E+00
1.205,1.7396E+00
1.210,1.7395E+00
1.215,1.7394E+00
1.220,1.7393E+00
1.225,1.7392E+00
1.230,1.7391E+00
1.235,1.7390E+00
1.240,1.7389E+00
1.245,1.7388E+00
1.250,1.7387E+00
1.255,1.7386E+00
1.260,1.7385E+00
1.265,1.7384E+00
1.270,1.7383E+00
1.275,1.7382E+00
1.280,1.7381E+00
1.285,1.7380E+00
1.290,1.7379E+00
1.295,1.7378E+00
1.300,1.7377E+00
1.305,1.7376E+00
1.310,1.7375E+00
1.315,1.7374E+00
1.320,1.7373E+00
1.325,1.7372E+00
1.330,1.7372E+00
1.335,1.7371E+00
1.340,1.7370E+00
1.345,1.7369E+00
1.350,1.7368E+00
1.355,1.7367E+00
1.360,1.7367E+00
1.365,1.7366E+00
1.370,1.7365E+00
1.375,1.7364E+00
1.380,1.7364E+00
1.385,1.7363E+00
1.390,1.7362E+00
1.395,1.7361E+00
1.400,1.7361E+00
1.405,1.7360E+00
1.410,1.7359E+00
1.415,1.7358E+00
1.420,1.7358E+00
1.425,1.7357E+00
1.430,1.7356E+00
1.435,1.7356E+00
1.440,1.7355E+00
1.445,1.7354E+00
1.450,1.7354E+00
1.455,1.7353E+00
1.460,1.7352E+00
1.465,1.7352E+00
1.470,1.7351E+00
1.475,1.7351E+00
1.480,1.7350E+00
1.485,1.7349E+00
1.490,1.7349E+00
1.495,1.7348E+00
1.500,1.7347E+00
1.505,1.7347E+00
1.510,1.7346E+00
1.515,1.7346E+00
1.520,1.7345E+00
1.525,1.7345E+00
1.530,1.7344E+00
1.535,1.7343E+00
1.540,1.7343E+00
1.545,1.7342E+00
1.550,1.7342E+00
1.555,1.7341E+00
1.560,1.7341E+00
1.565,1.7340E+00
1.570,1.7340E+00
1.575,1.7339E+00
1.580,1.7339E+00
1.585,1.7338E+00
1.590,1.7338E+00
1.595,1.7337E+00
1.600,1.7337E+00
1.605,1.7336E+00
1.610,1.7336E+00
1.615,1.7335E+00
1.620,1.7335E+00
1.625,1.7334E+00
1.630,1.7334E+00
1.635,1.7333E+00
1.640,1.7333E+00
1.645,1.7333E+00
1.650,1.7332E+00
1.655,1.7332E+00
1.660,1.7331E+00
1.665,1.7331E+00
1.670,1.7330E+00
1.675,1.7330E+00
1.680,1.7329E+00
1.685,1.7329E+00
1.690,1.7329E+00
1.695,1.7328E+00
1.700,1.7328E+00
1.705,1.7327E+00
1.710,1.7327E+00
1.715,1.7327E+00
1.720,1.7326E+00
1.725,1.7326E+00
1.730,1.7325E+00
1.735,1.7325E+00
1.740,1.7325E+00
1.745,1.7324E+00
1.750,1.7324E+00
1.755,1.7324E+00
1.760,1.7323E+00
1.765,1.7323E+00
1.770,1.7322E+00
1.775,1.7322E+00
1.780,1.7322E+00
1.785,1.7321E+00
1.790,1.7321E+00
1.795,1.7321E+00
1.800,1.7320E+00
1.805,1.7320E+00
1.810,1.7320E+00
1.815,1.7319E+00
1.820,1.7319E+00
1.825,1.7319E+00
1.830,1.7318E+00
1.835,1.7318E+00
1.840,1.7318E+00
1.845,1.7317E+00
1.850,1.7317E+00
1.855,1.7317E+00
1.860,1.7316E+00
1.865,1.7316E+00
1.870,1.7316E+00
1.875,1.7316E+00
1.880,1.7315E+00
1.885,1.7315E+00
1.890,1.7315E+00
1.895,1.7314E+00
1.900,1.7314E+00
1.905,1.7314E+00
1.910,1.7313E+00
1.915,1.7313E+00
1.920,1.7313E+00
1.925,1.7313E+00
1.930,1.7312E+00
1.935,1.7312E+00
1.940,1.7312E+00
1.945,1.7312E+00
1.950,1.7311E+00
1.955,1.7311E+00
1.960,1.7311E+00
1.965,1.7310E+00
1.970,1.7310E+00
1.975,1.7310E+00
1.980,1.7310E+00
1.985,1.7309E+00
1.990,1.7309E+00
1.995,1.7309E+00
2.000,1.7309E+00
2.005,1.7308E+00
2.010,1.7308E+00
2.015,1.7308E+00
2.020,1.7308E+00
2.025,1.7307E+00
2.030,1.7307E+00
2.035,1.7307E+00
2.040,1.7307E+00
2.045,1.7307E+00
2.050,1.7306E+00
2.055,1.7306E+00
2.060,1.7306E+00
2.065,1.7306E+00
2.070,1.7305E+00
2.075,1.7305E+00
2.080,1.7305E+00
2.085,1.7305E+00
2.090,1.7304E+00
2.095,1.7304E+00
2.100,1.7304E+00
2.105,1.7304E+00
2.110,1.7304E+00
2.115,1.7303E+00
2.120,1.7303E+00
2.125,1.7303E+00
2.130,1.7303E+00
2.135,1.7303E+00
2.140,1.7302E+00
2.145,1.7302E+00
2.150,1.7302E+00
2.155,1.7302E+00
2.160,1.7302E+00
2.165,1.7301E+00
2.170,1.7301E+00
2.175,1.7301E+00
2.180,1.7301E+00
2.185,1.7301E+00
2.190,1.7300E+00
2.195,1.7300E+00
2.200,1.7300E+00
2.205,1.7300E+00
2.210,1.7300E+00
2.215,1.7299E+00
2.220,1.7299E+00
2.225,1.7299E+00
2.230,1.7299E+00
2.235,1.7299E+00
2.240,1.7299E+00
2.245,1.7298E+00
2.250,1.7298E+00
2.255,1.7298E+00
2.260,1.7298E+00
2.265,1.7298E+00
2.270,1.7298E+00
2.275,1.7297E+00
2.280,1.7297E+00
2.285,1.7297E+00
2.290,1.7297E+00
2.295,1.7297E+00
2.300,1.7297E+00
2.305,1.7296E+00
2.310,1.7296E+00
2.315,1.7296E+00
2.320,1.7296E+00
2.325,1.7296E+00
2.330,1.7296E+00
2.335,1.7295E+00
2.340,1.7295E+00
2.345,1.7295E+00
2.350,1.7295E+00
2.355,1.7295E+00
2.360,1.7295E+00
2.365,1.7294E+00
2.370,1.7294E+00
2.375,1.7294E+00
2.380,1.7294E+00
2.385,1.7294E+00
2.390,1.7294E+00
2.395,1.7294E+00
2.400,1.7293E+00
2.405,1.7293E+00
2.410,1.7293E+00
2.415,1.7293E+00
2.420,1.7293E+00
2.425,1.7293E+00
2.430,1.7293E+00
2.435,1.7292E+00
2.440,1.7292E+00
2.445,1.7292E+00
2.450,1.7292E+00
2.455,1.7292E+00
2.460,1.7292E+00
2.465,1.7292E+00
2.470,1.7292E+00
2.475,1.7291E+00
2.480,1.7291E+00
2.485,1.7291E+00
2.490,1.7291E+00
2.495,1.7291E+00
2.500,1.7291E+00
2.505,1.7291E+00
2.510,1.7291E+00
2.515,1.7290E+00
2.520,1.7290E+00
2.525,1.7290E+00
2.530,1.7290E+00
2.535,1.7290E+00
2.540,1.7290E+00
2.545,1.7290E+00
2.550,1.7290E+00
2.555,1.7289E+00
2.560,1.7289E+00
2.565,1.7289E+00
2.570,1.7289E+00
2.575,1.7289E+00
2.580,1.7289E+00
2.585,1.7289E+00
2.590,1.7289E+00
2.595,1.7288E+00
2.600,1.7288E+00
2.605,1.7288E+00
2.610,1.7288E+00
2.615,1.7288E+00
2.620,1.7288E+00
2.625,1.7288E+00
2.630,1.7288E+00
2.635,1.7288E+00
2.640,1.7287E+00
2.645,1.7287E+00
2.650,1.7287E+00
2.655,1.7287E+00
2.660,1.7287E+00
2.665,1.7287E+00
2.670,1.7287E+00
2.675,1.7287E+00
2.680,1.7287E+00
2.685,1.7287E+00
2.690,1.7286E+00
2.695,1.7286E+00
2.700,1.7286E+00
2.705,1.7286E+00
2.710,1.7286E+00
2.715,1.7286E+00
2.720,1.7286E+00
2.725,1.7286E+00
2.730,1.7286E+00
2.735,1.7286E+00
2.740,1.7285E+00
2.745,1.7285E+00
2.750,1.7285E+00
2.755,1.7285E+00
2.760,1.7285E+00
2.765,1.7285E+00
2.770,1.7285E+00
2.775,1.7285E+00
2.780,1.7285E+00
2.785,1.7285E+00
2.790,1.7285E+00
2.795,1.7284E+00
2.800,1.7284E+00
2.805,1.7284E+00
2.810,1.7284E+00
2.815,1.7284E+00
2.820,1.7284E+00
2.825,1.7284E+00
2.830,1.7284E+00
2.835,1.7284E+00
2.840,1.7284E+00
2.845,1.7284E+00
2.850,1.7283E+00
2.855,1.7283E+00
2.860,1.7283E+00
2.865,1.7283E+00
2.870,1.7283E+00
2.875,1.7283E+00
2.880,1.7283E+00
2.885,1.7283E+00
2.890,1.7283E+00
2.895,1.7283E+00
2.900,1.7283E+00
2.905,1.7283E+00
2.910,1.7282E+00
2.915,1.7282E+00
2.920,1.7282E+00
2.925,1.7282E+00
2.930,1.7282E+00
2.935,1.7282E+00
2.940,1.7282E+00
2.945,1.7282E+00
2.950,1.7282E+00
2.955,1.7282E+00
2.960,1.7282E+00
2.965,1.7282E+00
2.970,1.7282E+00
2.975,1.7281E+00
2.980,1.7281E+00
2.985,1.7281E+00
2.990,1.7281E+00
2.995,1.7281E+00
3.000,1.7281E+00
3.005,1.7281E+00
3.010,1.7281E+00
3.015,1.7281E+00
3.020,1.7281E+00
3.025,1.7281E+00
3.030,1.7281E+00
3.035,1.7281E+00
3.040,1.7281E+00
3.045,1.7280E+00
3.050,1.7280E+00
3.055,1.7280E+00
3.060,1.7280E+00
3.065,1.7280E+00
3.070,1.7280E+00
3.075,1.7280E+00
3.080,1.7280E+00
3.085,1.7280E+00
3.090,1.7280E+00
3.095,1.7280E+00
3.100,1.7280E+00
3.105,1.7280E+00
3.110,1.7280E+00
3.115,1.7280E+00
3.120,1.7279E+00
3.125,1.7279E+00
3.130,1.7279E+00
3.135,1.7279E+00
3.140,1.7279E+00
3.145,1.7279E+00
3.150,1.7279E+00
3.155,1.7279E+00
3.160,1.7279E+00
3.165,1.7279E+00
3.170,1.7279E+00
3.175,1.7279E+00
3.180,1.7279E+00
3.185,1.7279E+00
3.190,1.7279E+00
3.195,1.7279E+00
3.200,1.7278E+00
